,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
51,CYSLTR2,0,1.044701933,0.621,0.251,0,C-NP.MRGPRX1/GFRA2,CYSLTR2
52,RERGL,0,1.041576252,0.331,0.147,0,C-NP.MRGPRX1/GFRA2,RERGL
53,SRPX,0,1.038418595,0.739,0.445,0,C-NP.MRGPRX1/GFRA2,SRPX
54,PCSK2,0,1.035217099,0.908,0.804,0,C-NP.MRGPRX1/GFRA2,PCSK2
55,TRAPPC3L,0,1.026346839,0.867,0.662,0,C-NP.MRGPRX1/GFRA2,TRAPPC3L
56,NPPB,0,1.014067408,0.579,0.149,0,C-NP.MRGPRX1/GFRA2,NPPB
57,RUNX1,0,1.009217122,0.575,0.38,0,C-NP.MRGPRX1/GFRA2,RUNX1
58,DAPK1,0,1.006228477,0.642,0.342,0,C-NP.MRGPRX1/GFRA2,DAPK1
59,SHF,0,1.003738333,0.742,0.45,0,C-NP.MRGPRX1/GFRA2,SHF
60,RAMP3,0,0.995862589,0.652,0.253,0,C-NP.MRGPRX1/GFRA2,RAMP3
61,CCDC6,0,0.992449508,0.87,0.707,0,C-NP.MRGPRX1/GFRA2,CCDC6
62,SEMA3G,0,0.991809273,0.656,0.28,0,C-NP.MRGPRX1/GFRA2,SEMA3G
63,TRPV1,0,0.991603469,0.929,0.659,0,C-NP.MRGPRX1/GFRA2,TRPV1
64,CTSA,0,0.981163462,0.863,0.722,0,C-NP.MRGPRX1/GFRA2,CTSA
65,VSTM2B,0,0.971727596,0.792,0.489,0,C-NP.MRGPRX1/GFRA2,VSTM2B
66,KCNH6,0,0.960642826,0.589,0.182,0,C-NP.MRGPRX1/GFRA2,KCNH6
67,CRTAC1,0,0.960217734,0.742,0.411,0,C-NP.MRGPRX1/GFRA2,CRTAC1
68,CPNE5,0,0.957525549,0.627,0.243,0,C-NP.MRGPRX1/GFRA2,CPNE5
69,COL6A6,0,0.956162043,0.484,0.161,0,C-NP.MRGPRX1/GFRA2,COL6A6
70,TMEM132E,0,0.948789672,0.879,0.733,0,C-NP.MRGPRX1/GFRA2,TMEM132E
71,GRK3,0,0.942186964,0.538,0.219,0,C-NP.MRGPRX1/GFRA2,GRK3
72,TAFA3,0,0.934182566,0.612,0.32,0,C-NP.MRGPRX1/GFRA2,TAFA3
73,ARHGAP18,0,0.933538937,0.61,0.33,0,C-NP.MRGPRX1/GFRA2,ARHGAP18
74,TPD52,0,0.930196692,0.891,0.747,0,C-NP.MRGPRX1/GFRA2,TPD52
75,PDCD4,0,0.928549629,0.652,0.363,0,C-NP.MRGPRX1/GFRA2,PDCD4
76,PAFAH1B3,0,0.921922027,0.807,0.626,0,C-NP.MRGPRX1/GFRA2,PAFAH1B3
77,FHL2,0,0.912381056,0.625,0.351,0,C-NP.MRGPRX1/GFRA2,FHL2
78,GNAO1,0,0.912009507,0.946,0.861,0,C-NP.MRGPRX1/GFRA2,GNAO1
79,VWC2,0,0.910705418,0.565,0.182,0,C-NP.MRGPRX1/GFRA2,VWC2
80,AFF3,0,0.910599132,0.624,0.412,0,C-NP.MRGPRX1/GFRA2,AFF3
81,MYO1B,0,0.910163008,0.65,0.314,0,C-NP.MRGPRX1/GFRA2,MYO1B
82,LYPD6B,0,0.909293546,0.502,0.116,0,C-NP.MRGPRX1/GFRA2,LYPD6B
83,B2M,0,0.905189378,0.946,0.86,0,C-NP.MRGPRX1/GFRA2,B2M
84,TPPP3,0,0.896800295,0.955,0.92,0,C-NP.MRGPRX1/GFRA2,TPPP3
85,CADM2,0,0.889778091,0.599,0.345,0,C-NP.MRGPRX1/GFRA2,CADM2
86,FABP5,0,0.889447181,0.783,0.567,0,C-NP.MRGPRX1/GFRA2,FABP5
87,NHERF2,0,0.888127344,0.593,0.378,0,C-NP.MRGPRX1/GFRA2,NHERF2
88,GABRG3,0,0.887707447,0.545,0.237,0,C-NP.MRGPRX1/GFRA2,GABRG3
89,AVIL,0,0.870271403,0.973,0.887,0,C-NP.MRGPRX1/GFRA2,AVIL
90,SLC5A3,0,0.869263334,0.713,0.523,0,C-NP.MRGPRX1/GFRA2,SLC5A3
91,NBL1,0,0.863664837,0.849,0.685,0,C-NP.MRGPRX1/GFRA2,NBL1
92,LIFR,0,0.861516197,0.851,0.702,0,C-NP.MRGPRX1/GFRA2,LIFR
93,S100A6,0,0.859987218,0.969,0.862,0,C-NP.MRGPRX1/GFRA2,S100A6
94,A4GALT,0,0.858676555,0.708,0.467,0,C-NP.MRGPRX1/GFRA2,A4GALT
95,TLN2,0,0.846806818,0.871,0.728,0,C-NP.MRGPRX1/GFRA2,TLN2
96,ITGA3,0,0.843012606,0.844,0.684,0,C-NP.MRGPRX1/GFRA2,ITGA3
97,XYLT2,0,0.83940863,0.632,0.389,0,C-NP.MRGPRX1/GFRA2,XYLT2
98,PLA2R1,0,0.83790262,0.599,0.419,0,C-NP.MRGPRX1/GFRA2,PLA2R1
99,GNAQ,0,0.83625294,0.928,0.797,0,C-NP.MRGPRX1/GFRA2,GNAQ
100,SPHKAP,0,0.832614346,0.724,0.461,0,C-NP.MRGPRX1/GFRA2,SPHKAP
101,TMEM45B,0,0.829900965,0.537,0.146,0,C-NP.MRGPRX1/GFRA2,TMEM45B
102,CNTN2,0,0.82719249,0.879,0.749,0,C-NP.MRGPRX1/GFRA2,CNTN2
103,MGLL,0,0.825770058,0.799,0.609,0,C-NP.MRGPRX1/GFRA2,MGLL
104,CTSB,0,0.822137073,0.965,0.929,0,C-NP.MRGPRX1/GFRA2,CTSB
105,ATP8A1,0,0.816632601,0.862,0.704,0,C-NP.MRGPRX1/GFRA2,ATP8A1
106,SERINC5,0,0.816339397,0.729,0.526,0,C-NP.MRGPRX1/GFRA2,SERINC5
107,PRKCB,0,0.815538763,0.739,0.504,0,C-NP.MRGPRX1/GFRA2,PRKCB
108,CDH11,0,0.814763668,0.546,0.259,0,C-NP.MRGPRX1/GFRA2,CDH11
109,INA,0,0.811963579,0.807,0.501,0,C-NP.MRGPRX1/GFRA2,INA
110,DEPRECATED-ENSG00000177098,0,0.808794742,0.737,0.593,0,C-NP.MRGPRX1/GFRA2,DEPRECATED-ENSG00000177098
111,SCN4B,0,0.80859954,0.863,0.79,0,C-NP.MRGPRX1/GFRA2,SCN4B
112,SDK2,0,0.804236228,0.565,0.25,0,C-NP.MRGPRX1/GFRA2,SDK2
113,PTGDR,0,0.802136631,0.578,0.231,0,C-NP.MRGPRX1/GFRA2,PTGDR
114,HS6ST2,0,0.80213153,0.628,0.35,0,C-NP.MRGPRX1/GFRA2,HS6ST2
115,TMEM54,0,0.799883015,0.635,0.362,0,C-NP.MRGPRX1/GFRA2,TMEM54
116,RTN4RL2,0,0.799506688,0.687,0.516,0,C-NP.MRGPRX1/GFRA2,RTN4RL2
117,PTPRF,0,0.797749862,0.818,0.664,0,C-NP.MRGPRX1/GFRA2,PTPRF
118,EHBP1,0,0.797641856,0.888,0.754,0,C-NP.MRGPRX1/GFRA2,EHBP1
119,GABRB3,0,0.794770189,0.778,0.603,0,C-NP.MRGPRX1/GFRA2,GABRB3
120,PAQR5,0,0.793620159,0.468,0.132,0,C-NP.MRGPRX1/GFRA2,PAQR5
121,MSN,0,0.792248647,0.871,0.748,0,C-NP.MRGPRX1/GFRA2,MSN
122,GABRA2,0,0.791926357,0.715,0.529,0,C-NP.MRGPRX1/GFRA2,GABRA2
123,PTPRR,0,0.791785341,0.636,0.388,0,C-NP.MRGPRX1/GFRA2,PTPRR
124,CDC25B,0,0.788974616,0.667,0.447,0,C-NP.MRGPRX1/GFRA2,CDC25B
125,SCN10A,0,0.788225473,0.861,0.622,0,C-NP.MRGPRX1/GFRA2,SCN10A
126,TMEM63C,0,0.784939748,0.797,0.647,0,C-NP.MRGPRX1/GFRA2,TMEM63C
127,OPRD1,0,0.784423984,0.535,0.234,0,C-NP.MRGPRX1/GFRA2,OPRD1
128,CTNND1,0,0.784366381,0.661,0.523,0,C-NP.MRGPRX1/GFRA2,CTNND1
129,KANK1,0,0.774082396,0.515,0.324,0,C-NP.MRGPRX1/GFRA2,KANK1
130,CHD3,0,0.769841097,0.773,0.584,0,C-NP.MRGPRX1/GFRA2,CHD3
131,PTPRM,0,0.756918978,0.674,0.513,0,C-NP.MRGPRX1/GFRA2,PTPRM
132,ALOX15B,0,0.755978864,0.472,0.176,0,C-NP.MRGPRX1/GFRA2,ALOX15B
133,RASGEF1B,0,0.754273991,0.825,0.655,0,C-NP.MRGPRX1/GFRA2,RASGEF1B
134,WIPF3,0,0.75355463,0.762,0.578,0,C-NP.MRGPRX1/GFRA2,WIPF3
135,CDH8,0,0.751820832,0.547,0.232,0,C-NP.MRGPRX1/GFRA2,CDH8
136,ID4,0,0.750834304,0.509,0.207,0,C-NP.MRGPRX1/GFRA2,ID4
137,TTC9,0,0.746656323,0.836,0.701,0,C-NP.MRGPRX1/GFRA2,TTC9
138,JUN,0,0.744900091,0.816,0.692,0,C-NP.MRGPRX1/GFRA2,JUN
139,NCALD,0,0.743254681,0.746,0.511,0,C-NP.MRGPRX1/GFRA2,NCALD
140,UBASH3B,0,0.737912941,0.759,0.58,0,C-NP.MRGPRX1/GFRA2,UBASH3B
141,GSTP1,0,0.732593655,0.758,0.62,0,C-NP.MRGPRX1/GFRA2,GSTP1
142,CTNNA1,0,0.728851247,0.829,0.613,0,C-NP.MRGPRX1/GFRA2,CTNNA1
143,PRNP,0,0.725749625,0.952,0.909,0,C-NP.MRGPRX1/GFRA2,PRNP
144,CD44,0,0.725041611,0.939,0.792,0,C-NP.MRGPRX1/GFRA2,CD44
145,PIRT,0,0.722704219,0.904,0.768,0,C-NP.MRGPRX1/GFRA2,PIRT
146,ANTXR2,0,0.706890379,0.547,0.297,0,C-NP.MRGPRX1/GFRA2,ANTXR2
147,FGF13,0,0.703095186,0.901,0.788,0,C-NP.MRGPRX1/GFRA2,FGF13
148,SAMD14,0,0.702895063,0.797,0.652,0,C-NP.MRGPRX1/GFRA2,SAMD14
149,FUT1,0,0.700828477,0.506,0.253,0,C-NP.MRGPRX1/GFRA2,FUT1
150,RASSF6,0,0.698923866,0.497,0.16,0,C-NP.MRGPRX1/GFRA2,RASSF6
151,IL31RA,0,0.698698212,0.869,0.431,0,C-NP.MRGPRX1/GFRA2,IL31RA
152,IFI16,0,0.698608835,0.511,0.266,0,C-NP.MRGPRX1/GFRA2,IFI16
153,DGKH,0,0.696688818,0.99,0.869,0,C-NP.MRGPRX1/GFRA2,DGKH
154,BNC2,0,0.69556121,0.431,0.249,0,C-NP.MRGPRX1/GFRA2,BNC2
155,DGKI,0,0.693157832,0.723,0.544,0,C-NP.MRGPRX1/GFRA2,DGKI
156,RPH3A,0,0.690503027,0.867,0.713,0,C-NP.MRGPRX1/GFRA2,RPH3A
157,OSBPL8,0,0.689315767,0.868,0.75,0,C-NP.MRGPRX1/GFRA2,OSBPL8
158,ACTN4,0,0.682814147,0.799,0.684,0,C-NP.MRGPRX1/GFRA2,ACTN4
159,KIF5C,0,0.678666132,0.98,0.943,0,C-NP.MRGPRX1/GFRA2,KIF5C
160,PKIA,0,0.678089486,0.717,0.534,0,C-NP.MRGPRX1/GFRA2,PKIA
161,TRIM67,0,0.677707587,0.647,0.468,0,C-NP.MRGPRX1/GFRA2,TRIM67
162,PITPNM2,0,0.677001535,0.808,0.677,0,C-NP.MRGPRX1/GFRA2,PITPNM2
163,LPAR3,0,0.672909818,0.749,0.495,0,C-NP.MRGPRX1/GFRA2,LPAR3
164,LINGO1,0,0.669023632,0.746,0.573,0,C-NP.MRGPRX1/GFRA2,LINGO1
165,TP53I11,0,0.662949284,0.627,0.345,0,C-NP.MRGPRX1/GFRA2,TP53I11
166,TTYH3,0,0.662854344,0.586,0.434,0,C-NP.MRGPRX1/GFRA2,TTYH3
167,BCAR1,0,0.662313366,0.671,0.548,0,C-NP.MRGPRX1/GFRA2,BCAR1
168,KIZ,0,0.661251973,0.756,0.607,0,C-NP.MRGPRX1/GFRA2,KIZ
169,RSPO4,0,0.654797587,0.579,0.358,0,C-NP.MRGPRX1/GFRA2,RSPO4
170,ISL2,0,0.649894392,0.63,0.445,0,C-NP.MRGPRX1/GFRA2,ISL2
171,ATP2C1,0,0.648924909,0.927,0.848,0,C-NP.MRGPRX1/GFRA2,ATP2C1
172,CREB3L1,0,0.645284996,0.559,0.298,0,C-NP.MRGPRX1/GFRA2,CREB3L1
173,MGAT4A,0,0.642819838,0.603,0.401,0,C-NP.MRGPRX1/GFRA2,MGAT4A
174,FAM89A,0,0.640028277,0.527,0.244,0,C-NP.MRGPRX1/GFRA2,FAM89A
175,SRI,0,0.639945565,0.704,0.524,0,C-NP.MRGPRX1/GFRA2,SRI
176,TLNRD1,0,0.638819196,0.565,0.399,0,C-NP.MRGPRX1/GFRA2,TLNRD1
177,PATJ,0,0.634248991,0.633,0.425,0,C-NP.MRGPRX1/GFRA2,PATJ
178,FADS3,0,0.63251243,0.752,0.624,0,C-NP.MRGPRX1/GFRA2,FADS3
179,FEZ1,0,0.630908375,0.918,0.838,0,C-NP.MRGPRX1/GFRA2,FEZ1
180,MID1IP1,0,0.630174061,0.831,0.725,0,C-NP.MRGPRX1/GFRA2,MID1IP1
181,OSBPL3,0,0.627625417,0.814,0.664,0,C-NP.MRGPRX1/GFRA2,OSBPL3
182,SNCG,0,0.626747359,0.981,0.965,0,C-NP.MRGPRX1/GFRA2,SNCG
183,ZFHX3,0,0.624448272,0.711,0.547,0,C-NP.MRGPRX1/GFRA2,ZFHX3
184,RHOU,0,0.624251035,0.458,0.182,0,C-NP.MRGPRX1/GFRA2,RHOU
185,PTMS,0,0.620959066,0.839,0.681,0,C-NP.MRGPRX1/GFRA2,PTMS
186,FRMPD3,0,0.613369304,0.59,0.391,0,C-NP.MRGPRX1/GFRA2,FRMPD3
187,UNC13C,0,0.610332459,0.419,0.176,0,C-NP.MRGPRX1/GFRA2,UNC13C
188,PITPNM1,0,0.607157016,0.604,0.354,0,C-NP.MRGPRX1/GFRA2,PITPNM1
189,CD59,0,0.605943435,0.874,0.796,0,C-NP.MRGPRX1/GFRA2,CD59
190,CD58,0,0.605710448,0.559,0.367,0,C-NP.MRGPRX1/GFRA2,CD58
191,GRIK1,0,0.603990033,0.48,0.236,0,C-NP.MRGPRX1/GFRA2,GRIK1
192,LANCL3,0,0.601639986,0.692,0.493,0,C-NP.MRGPRX1/GFRA2,LANCL3
193,OLFM3,0,0.600208706,0.516,0.274,0,C-NP.MRGPRX1/GFRA2,OLFM3
194,SLIT1,0,0.59820122,0.571,0.282,0,C-NP.MRGPRX1/GFRA2,SLIT1
195,PHF24,0,0.598115617,0.799,0.686,0,C-NP.MRGPRX1/GFRA2,PHF24
196,PFKP,0,0.597528678,0.921,0.847,0,C-NP.MRGPRX1/GFRA2,PFKP
197,TMEM59,0,0.596728961,0.723,0.612,0,C-NP.MRGPRX1/GFRA2,TMEM59
198,SSBP3,0,0.59643233,0.646,0.487,0,C-NP.MRGPRX1/GFRA2,SSBP3
199,KIF5B,0,0.595808252,0.801,0.698,0,C-NP.MRGPRX1/GFRA2,KIF5B
200,INSC,0,0.59453278,0.692,0.525,0,C-NP.MRGPRX1/GFRA2,INSC
201,AK5,0,0.592341381,0.674,0.451,0,C-NP.MRGPRX1/GFRA2,AK5
202,SPOCK2,0,0.592335122,0.952,0.934,0,C-NP.MRGPRX1/GFRA2,SPOCK2
203,PDE6D,0,0.591992937,0.656,0.499,0,C-NP.MRGPRX1/GFRA2,PDE6D
204,ENTREP3,0,0.58950914,0.623,0.466,0,C-NP.MRGPRX1/GFRA2,ENTREP3
205,SYNPR,0,0.58905102,0.523,0.258,0,C-NP.MRGPRX1/GFRA2,SYNPR
206,NEK7,0,0.583888341,0.715,0.567,0,C-NP.MRGPRX1/GFRA2,NEK7
207,SOHLH1,0,0.579869375,0.512,0.251,0,C-NP.MRGPRX1/GFRA2,SOHLH1
208,DYNC1I2,0,0.579354164,0.869,0.792,0,C-NP.MRGPRX1/GFRA2,DYNC1I2
209,SDK1,0,0.576277641,0.388,0.215,0,C-NP.MRGPRX1/GFRA2,SDK1
210,GP1BB,0,0.575570018,0.709,0.598,0,C-NP.MRGPRX1/GFRA2,GP1BB
211,CD47,0,0.574737666,0.813,0.695,0,C-NP.MRGPRX1/GFRA2,CD47
212,LRRC59,0,0.574392696,0.621,0.472,0,C-NP.MRGPRX1/GFRA2,LRRC59
213,TMEFF2,0,0.572820829,0.903,0.833,0,C-NP.MRGPRX1/GFRA2,TMEFF2
214,S100A4,0,0.572642387,0.519,0.342,0,C-NP.MRGPRX1/GFRA2,S100A4
215,MYO1D,0,0.571955943,0.586,0.4,0,C-NP.MRGPRX1/GFRA2,MYO1D
216,TMTC2,0,0.57140856,0.585,0.406,0,C-NP.MRGPRX1/GFRA2,TMTC2
217,SYT4,0,0.567952613,0.864,0.774,0,C-NP.MRGPRX1/GFRA2,SYT4
218,EXOC1L,0,0.56654928,0.449,0.16,0,C-NP.MRGPRX1/GFRA2,EXOC1L
219,CACNA2D2,0,0.565991009,0.639,0.476,0,C-NP.MRGPRX1/GFRA2,CACNA2D2
220,TMEM14A,0,0.565288916,0.84,0.759,0,C-NP.MRGPRX1/GFRA2,TMEM14A
221,PELI1,0,0.565093444,0.409,0.216,0,C-NP.MRGPRX1/GFRA2,PELI1
222,ASTN2,0,0.562366829,0.593,0.439,0,C-NP.MRGPRX1/GFRA2,ASTN2
223,SLC36A1,0,0.55730733,0.777,0.657,0,C-NP.MRGPRX1/GFRA2,SLC36A1
224,FRZB,0,0.557180406,0.426,0.222,0,C-NP.MRGPRX1/GFRA2,FRZB
225,EDIL3,0,0.552701139,0.989,0.964,0,C-NP.MRGPRX1/GFRA2,EDIL3
226,LIPA,0,0.547909913,0.705,0.602,0,C-NP.MRGPRX1/GFRA2,LIPA
227,CD200,0,0.547481115,0.611,0.442,0,C-NP.MRGPRX1/GFRA2,CD200
228,ENTREP2,0,0.545832539,0.356,0.122,0,C-NP.MRGPRX1/GFRA2,ENTREP2
229,ST6GALNAC5,0,0.544463626,0.537,0.335,0,C-NP.MRGPRX1/GFRA2,ST6GALNAC5
230,RAI14,0,0.538554648,0.504,0.316,0,C-NP.MRGPRX1/GFRA2,RAI14
231,PLEC,0,0.533470152,0.89,0.843,0,C-NP.MRGPRX1/GFRA2,PLEC
232,AFF2,0,0.532637959,0.605,0.432,0,C-NP.MRGPRX1/GFRA2,AFF2
233,PRKCE,0,0.531994036,0.789,0.675,0,C-NP.MRGPRX1/GFRA2,PRKCE
234,PDE4C,0,0.531300328,0.538,0.213,0,C-NP.MRGPRX1/GFRA2,PDE4C
235,CDS2,0,0.530825843,0.947,0.892,0,C-NP.MRGPRX1/GFRA2,CDS2
236,HS3ST3B1,0,0.529318657,0.394,0.159,0,C-NP.MRGPRX1/GFRA2,HS3ST3B1
237,PPEF1,0,0.528132352,0.652,0.451,0,C-NP.MRGPRX1/GFRA2,PPEF1
238,PIK3IP1,0,0.52728343,0.703,0.577,0,C-NP.MRGPRX1/GFRA2,PIK3IP1
239,ZDHHC14,0,0.525832306,0.618,0.481,0,C-NP.MRGPRX1/GFRA2,ZDHHC14
240,GALNT18,0,0.522556193,0.607,0.445,0,C-NP.MRGPRX1/GFRA2,GALNT18
241,TIMP2,0,0.518048817,0.932,0.857,0,C-NP.MRGPRX1/GFRA2,TIMP2
242,KTN1,0,0.517899951,0.789,0.707,0,C-NP.MRGPRX1/GFRA2,KTN1
243,MX2,0,0.51385529,0.506,0.266,0,C-NP.MRGPRX1/GFRA2,MX2
244,CA10,0,0.513604461,0.461,0.249,0,C-NP.MRGPRX1/GFRA2,CA10
245,STT3B,0,0.512408946,0.675,0.559,0,C-NP.MRGPRX1/GFRA2,STT3B
246,GRB2,0,0.512364529,0.812,0.729,0,C-NP.MRGPRX1/GFRA2,GRB2
247,IRS2,0,0.511999668,0.751,0.652,0,C-NP.MRGPRX1/GFRA2,IRS2
248,NRN1,0,0.507242405,0.813,0.725,0,C-NP.MRGPRX1/GFRA2,NRN1
249,UGT8,0,0.505855658,0.422,0.158,0,C-NP.MRGPRX1/GFRA2,UGT8
250,FAM3B,0,0.505491052,0.4,0.125,0,C-NP.MRGPRX1/GFRA2,FAM3B
251,PEAK1,0,0.503586833,0.578,0.444,0,C-NP.MRGPRX1/GFRA2,PEAK1
252,CERS4,0,0.503011835,0.613,0.461,0,C-NP.MRGPRX1/GFRA2,CERS4
253,P2RX5,0,0.502259967,0.532,0.307,0,C-NP.MRGPRX1/GFRA2,P2RX5
254,DCN,0,0.501827084,0.577,0.389,0,C-NP.MRGPRX1/GFRA2,DCN
255,RASSF7,0,0.498993259,0.387,0.221,0,C-NP.MRGPRX1/GFRA2,RASSF7
256,DEPRECATED-ENSG00000183943,0,0.496307934,0.43,0.268,0,C-NP.MRGPRX1/GFRA2,DEPRECATED-ENSG00000183943
257,NSMCE3,0,0.496134431,0.604,0.47,0,C-NP.MRGPRX1/GFRA2,NSMCE3
258,SYNM,0,0.495952118,0.838,0.76,0,C-NP.MRGPRX1/GFRA2,SYNM
259,CPNE4,0,0.492487208,0.721,0.495,0,C-NP.MRGPRX1/GFRA2,CPNE4
260,KCNH1,0,0.489642076,0.412,0.203,0,C-NP.MRGPRX1/GFRA2,KCNH1
261,UNC13A,0,0.48703744,0.77,0.64,0,C-NP.MRGPRX1/GFRA2,UNC13A
262,KCND3,0,0.486757889,0.703,0.523,0,C-NP.MRGPRX1/GFRA2,KCND3
263,FGF10,0,0.486181993,0.452,0.206,0,C-NP.MRGPRX1/GFRA2,FGF10
264,TSPAN14,0,0.485890894,0.567,0.409,0,C-NP.MRGPRX1/GFRA2,TSPAN14
265,MMP24,0,0.485283258,0.606,0.459,0,C-NP.MRGPRX1/GFRA2,MMP24
266,PCSK1,0,0.485278554,0.852,0.663,0,C-NP.MRGPRX1/GFRA2,PCSK1
267,BHLHE41,0,0.482822319,0.512,0.341,0,C-NP.MRGPRX1/GFRA2,BHLHE41
268,FILIP1,0,0.48192733,0.736,0.544,0,C-NP.MRGPRX1/GFRA2,FILIP1
269,CASZ1,0,0.480165711,0.467,0.234,0,C-NP.MRGPRX1/GFRA2,CASZ1
270,TNNT1,0,0.480038724,0.17,0.038,0,C-NP.MRGPRX1/GFRA2,TNNT1
271,GALNT11,0,0.477160164,0.659,0.545,0,C-NP.MRGPRX1/GFRA2,GALNT11
272,SEPTIN5,0,0.477042435,0.801,0.706,0,C-NP.MRGPRX1/GFRA2,SEPTIN5
273,CHST15,0,0.47630162,0.461,0.28,0,C-NP.MRGPRX1/GFRA2,CHST15
274,GCNT2,0,0.474259698,0.501,0.301,0,C-NP.MRGPRX1/GFRA2,GCNT2
